m,alpha,empirical_rate
28,0.110807197062,0.137775011203
28,0.113885174758,0.130849561387
28,0.116963152455,0.123924111570
28,0.120041130151,0.117378090115
28,0.123119107847,0.111222134723
28,0.126197085543,0.105066179330
28,0.129275063239,0.098910223938
28,0.132353040936,0.092754268546
28,0.135431018632,0.086598313153
28,0.138508996328,0.080442357761
28,0.141586974024,0.074286402369
28,0.144664951720,0.068805095510
28,0.147742929416,0.063418634542
28,0.150820907113,0.058032173574
28,0.153898884809,0.052645712605
28,0.156976862505,0.047259251637
28,0.160054840201,0.042034687039
28,0.163132817897,0.037417720495
28,0.166210795593,0.032800753951
28,0.169288773290,0.028183787407
28,0.172366750986,0.023717613419
28,0.175444728682,0.019870141299
28,0.178522706378,0.016022669179
28,0.181600684074,0.012418421905
28,0.184678661771,0.009340444209
28,0.187756639467,0.006392027661
28,0.190834617163,0.004083544389
28,0.193912594859,0.002158851758
28,0.196990572555,0.000738452985
28,0.200068550251,-0.000000000000
28,0.201471562578,-0.000000000000
28,0.203146527948,0.000074735969
28,0.206224505644,0.001062816936
28,0.209302483340,0.003042742052
28,0.212380461036,0.006370727326
28,0.215458438732,0.011208860719
28,0.218536416428,0.018016547513
28,0.221614394125,0.027175141418
28,0.224692371821,0.039353506175
28,0.227770349517,0.055427971484
28,0.230848327213,0.076763439002
28,0.233926304909,0.105670328210
28,0.237004282606,0.142230605627
28,0.240082260302,0.179166337981
28,0.243160237998,0.216102070335
28,0.246238215694,0.253037802689
