m,alpha,I_m
28,0.211764865496886,0.005605827288739
28,0.214227247653826,0.009088795730267
28,0.216689629810767,0.013701614752894
28,0.219152011967707,0.019647463996893
28,0.221614394124648,0.027182916476060
28,0.224076776281588,0.036641502548089
28,0.226539158438529,0.048455086410403
28,0.229001540595469,0.063230962000969
28,0.231463922752410,0.081838582348090
28,0.233926304909350,0.105670328210174
28,0.236388687066291,0.134843459156016
28,0.238851069223231,0.164392045039302
28,0.241313451380172,0.193940630922588
28,0.243775833537112,0.223489216805875
28,0.246238215694053,0.253037802689161
32,0.000000000000000,0.464213334936392
32,0.002455341832782,0.449465110212631
32,0.004910683665564,0.438208864800362
32,0.007366025498346,0.428088468854641
32,0.009821367331128,0.418628158162282
32,0.012276709163910,0.409645914199122
32,0.014732050996692,0.400978841845891
32,0.017187392829474,0.392590434312131
32,0.019642734662256,0.384435042562244
32,0.022098076495038,0.376455653798341
32,0.024553418327820,0.368598559933439
32,0.027008760160602,0.360969930868112
32,0.029464101993384,0.353359778207888
32,0.031919443826166,0.345993752709542
32,0.034374785658948,0.338627727211196
32,0.036830127491730,0.331423109834468
